id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data
2424,74,SingularityNET,AGIX,singularitynet,1,19/01/2018,26/04/2024
6892,75,MultiversX,EGLD,multiversx-egld,1,04/09/2020,26/04/2024
21159,76,Ondo,ONDO,ondo-finance,1,18/01/2024,26/04/2024
7431,77,Akash Network,AKT,akash-network,1,19/10/2020,26/04/2024
29587,78,Wormhole,W,wormhole,1,03/04/2024,26/04/2024
4066,79,Chiliz,CHZ,chiliz,1,01/07/2019,26/04/2024
6783,80,Axie Infinity,AXS,axie-infinity,1,03/11/2020,26/04/2024
10791,81,eCash,XEC,ecash,1,08/07/2021,26/04/2024
6210,82,The Sandbox,SAND,the-sandbox,1,14/08/2020,26/04/2024
28324,83,dYdX (Native),DYDX,dydx-chain,1,31/10/2023,26/04/2024
2011,84,Tezos,XTZ,tezos,1,02/10/2017,26/04/2024
7334,85,Conflux,CFX,conflux-network,1,10/11/2020,26/04/2024
2087,86,KuCoin Token,KCS,kucoin-token,1,24/10/2017,26/04/2024
2586,87,Synthetix,SNX,synthetix,1,14/03/2018,26/04/2024
13502,88,Worldcoin,WLD,worldcoin-org,1,24/07/2023,26/04/2024
8646,89,Mina,MINA,mina,1,01/06/2021,26/04/2024
14101,90,Ronin,RON,ronin,1,27/01/2022,26/04/2024
1765,91,EOS,EOS,eos,1,01/07/2017,26/04/2024
8425,92,JasmyCoin,JASMY,jasmy,1,11/02/2021,26/04/2024
25028,93,ORDI,ORDI,ordi,1,08/05/2023,26/04/2024
28177,94,Pyth Network,PYTH,pyth-network,1,20/11/2023,26/04/2024
1966,95,Decentraland,MANA,decentraland,1,17/09/2017,26/04/2024
22691,96,Starknet,STRK,starknet-token,1,20/02/2024,26/04/2024
1659,97,Gnosis,GNO,gnosis-gno,1,01/05/2017,26/04/2024
4948,98,Nervos Network,CKB,nervos-network,1,19/11/2019,26/04/2024
18876,99,ApeCoin,APE,apecoin-ape,1,17/03/2022,26/04/2024
3822,100,Theta Fuel,TFUEL,theta-fuel,1,28/03/2019,26/04/2024
4846,101,Kava,KAVA,kava,1,25/10/2019,26/04/2024
